session_id,user_id,articles_read,read_time,score
1423215,8,178,1,3
1423216,10,371,1,3
1423217,26,1486,2,4
1423220,45,69,1,3
1423224,7,3170,1,2
1423228,17,2815,2,5
1423230,49,272,2,5
1423231,24,2327,2,5
1423232,16,4312,0,0
1423236,13,2908,0,0
1423239,22,1421,2,5
1423247,4,1994,2,5
1423248,8,2384,2,5
1423248,22,4024,2,5
1423250,3,3284,0,0
1423252,47,3317,2,5
1423252,1,2444,0,0
1423254,36,3996,1,3
1423255,32,4482,1,1
1423256,41,3620,0,0
1423257,46,488,0,0
1423258,30,4118,0,0
1423260,22,702,3,3
1423265,17,4145,1,3
1423268,40,2766,0,0
1423268,41,542,0,0
1423268,43,1436,2,2
1423269,31,2984,2,4
1423271,35,450,1,1
1423275,46,4593,2,5
1423278,42,4336,0,0
1423279,45,361,0,0
1423283,34,2079,0,0
1423284,33,3274,1,3
1423287,24,4382,0,0
1423288,36,1910,1,3
1423291,39,4589,2,4
1423294,8,3230,0,0
1423299,16,2703,3,4
1423302,44,2417,2,5
1423308,19,3169,0,0
1423310,35,453,2,4
1423315,4,1364,0,0
1423316,14,2826,1,3
1423316,38,2249,2,5
1423320,20,151,0,0
1423321,34,1041,0,0
1423322,36,2787,0,0
1423330,35,1666,1,1
1423331,11,2182,0,0
1423332,49,2792,2,4
1423333,21,3255,0,0
1423335,18,643,0,0
1423342,21,2014,0,0
1423344,3,2851,0,0
1423347,8,4474,1,5
1423348,43,4517,0,0
1423349,26,3544,0,0
1423350,41,3764,1,1
1423352,10,7,2,5
1423353,48,966,1,3
1423358,42,715,1,5
1423364,28,711,1,5
1423365,21,2581,0,0
1423369,12,3176,0,0
1423369,49,2029,0,0
1423371,25,1170,2,3
1423373,45,3969,0,0
1423376,46,242,0,0
1423376,18,2722,0,0
1423381,17,4482,0,0
1423388,38,4050,0,0
1423388,29,1781,0,0
1423393,37,1754,0,0
1423394,2,1466,0,0
1423394,7,1675,1,2
1423396,43,2806,1,3
1423400,20,1253,3,5
1423401,34,273,2,4
1423403,29,1259,4,5
1423404,8,1357,2,2
1423410,10,72,0,0
1423410,36,3837,1,3
1423414,30,2936,0,0
1423414,34,3148,0,0
1423415,25,2180,1,2
1423420,31,3565,3,5
1423424,34,3491,0,0
1423429,43,2224,0,0
1423432,27,732,2,2
1423432,35,1365,1,2
1423438,8,621,1,3
1423438,10,218,0,0
1423439,24,4407,1,5
1423439,41,4409,0,0
1423443,2,4302,6,5
1423444,28,568,1,3
1423444,3,2393,1,3
1423445,41,2052,2,5
1423446,19,384,1,3
1423447,42,227,0,0
1423447,5,4623,1,3
1423448,12,3607,1,3
1423448,48,4373,1,3
1423448,5,573,2,5
1423451,33,801,3,4
1423452,47,1565,0,0
1423453,21,2479,1,3
1423454,3,1444,3,3
1423456,24,2596,0,0
1423457,2,1247,0,0
1423459,33,839,1,3
1423459,29,786,3,5
1423461,26,783,1,5
1423465,44,1289,1,2
1423465,24,968,2,5
1423465,50,156,2,5
1423466,39,1339,0,0
1423470,14,4442,0,0
1423471,19,301,1,5
1423472,35,458,5,5
1423472,29,3798,0,0
1423477,10,1672,0,0
1423477,47,4440,4,4
1423477,28,2109,2,3
1423478,7,2702,0,0
1423478,5,1092,3,3
1423480,30,2796,0,0
1423481,16,245,1,3
1423483,26,701,1,3
1423490,18,1155,1,3
1423491,44,3672,7,5
1423491,20,1025,1,3
1423492,2,2429,0,0
1423494,20,85,0,0
1423495,2,992,2,5
1423495,37,3571,0,0
1423495,32,2104,1,3
1423497,1,2905,0,0
1423499,4,3923,1,3
1423499,31,4515,2,4
1423499,41,4467,1,2
1423508,38,451,0,0
1423509,30,3573,1,1
1423509,48,1815,0,0
1423512,44,3079,0,0
1423513,47,4201,2,4
1423515,42,286,3,4
1423520,9,3786,1,5
1423520,29,1014,1,2
1423521,30,309,3,3
1423521,22,88,0,0
1423523,9,496,1,2
1423524,41,1419,1,2
1423524,21,3332,1,5
1423528,45,271,0,0
1423532,9,1891,3,3
1423532,19,1881,1,5
1423533,18,4412,2,4
1423534,20,4277,3,4
1423535,20,1364,0,0
1423536,2,34,0,0
1423537,7,698,0,0
1423541,6,4215,6,5
1423541,20,1176,0,0
1423542,22,3624,1,3
1423545,49,3945,0,0
1423546,29,2856,1,5
1423548,4,135,0,0
1423548,25,916,0,0
1423550,41,1453,2,5
1423552,4,3112,1,5
1423559,25,2054,3,5
1423560,10,22,0,0
1423560,7,955,0,0
1423561,30,4263,0,0
1423561,38,195,0,0
1423562,32,769,1,3
1423565,23,3215,1,5
1423566,35,3843,1,3
1423567,39,3720,0,0
1423569,17,3458,1,3
1423573,18,1241,0,0
1423576,19,3742,0,0
1423576,15,4019,4,4
1423578,3,1788,0,0
1423580,50,3681,5,5
1423580,20,3404,1,5
1423581,26,201,0,0
1423584,21,3671,2,3
1423588,16,271,0,0
1423589,37,1967,1,3
1423590,21,3020,1,5
1423592,19,726,0,0
1423593,18,1789,0,0
1423594,9,4260,0,0
1423595,25,1376,1,3
1423595,1,3412,2,5
1423596,8,368,1,3
1423597,3,1679,0,0
1423598,20,3133,0,0
1423598,28,2859,2,5
1423600,25,339,1,3
1423600,4,1746,1,3
1423602,11,734,0,0
1423602,47,3451,0,0
1423604,39,2970,1,5
1423605,47,4064,1,3
1423605,49,1592,0,0
1423605,23,1633,1,3
1423605,45,214,0,0
1423606,13,3579,2,5
1423611,15,4570,0,0
1423614,9,356,2,5
1423615,41,2108,5,5
1423617,26,2562,2,4
1423617,47,4525,0,0
1423618,25,3354,0,0
1423620,22,3093,1,3
1423622,15,168,2,5
1423623,35,1536,1,2
1423623,7,4474,0,0
1423626,7,1807,1,1
1423634,47,661,0,0
1423635,38,3809,4,5
1423638,50,1884,1,3
1423640,10,1790,1,3
1423641,45,314,0,0
1423643,12,4253,0,0
1423646,45,3201,1,3
1423647,3,3532,0,0
1423649,2,4580,0,0
1423651,42,3146,1,3
1423652,21,71,0,0
1423653,4,3854,0,0
1423656,2,1048,4,5
1423657,28,2289,2,4
1423657,7,3,2,5
1423660,29,2891,0,0
1423660,6,2805,0,0
1423663,4,1401,5,5
1423665,9,1024,3,3
1423668,23,4269,1,2
1423670,23,2895,2,5
1423671,5,2398,0,0
1423672,2,2251,1,2
1423678,45,2496,1,1
1423682,32,3336,2,5
1423682,30,980,2,5
1423682,18,1681,1,3
1423686,4,2454,4,5
1423687,17,3517,1,5
1423691,3,58,0,0
1423693,6,1869,1,3
1423693,27,1877,2,5
1423694,19,4566,1,3
1423695,37,3465,2,5
1423696,46,2234,4,4
1423699,18,2299,3,4
1423701,18,1951,1,2
1423704,4,12,0,0
1423705,36,1797,0,0
1423706,11,377,0,0
1423708,41,3202,1,2
1423709,4,1767,0,0
1423710,27,445,0,0
1423712,5,3559,1,3
1423712,45,3881,3,3
1423713,23,1644,3,5
1423714,43,1478,0,0
1423715,43,4214,1,3
1423718,31,1197,1,1
1423719,23,2855,0,0
1423720,16,2481,3,5
1423720,31,621,2,5
1423720,17,3791,2,5
1423731,35,1341,0,0
1423731,35,188,0,0
1423732,39,1629,1,2
1423733,37,1697,1,1
1423733,28,139,3,5
1423737,18,2773,0,0
1423738,4,2644,2,5
1423739,45,3352,1,5
1423742,21,2248,1,2
1423742,49,4043,3,4
1423744,26,99,0,0
1423745,14,2907,1,1
1423745,19,1352,3,5
1423745,21,2684,1,2
1423749,41,2461,1,2
1423749,35,476,3,5
1423750,1,1741,1,2
1423750,40,2,0,0
1423751,14,4063,0,0
1423752,32,1614,1,3
1423752,22,1401,4,4
1423753,11,1266,2,3
1423753,27,1004,1,3
1423754,14,1907,0,0
1423754,18,1463,0,0
1423758,48,2144,2,4
1423758,3,1973,2,2
1423759,38,2363,0,0
1423759,32,3099,1,3
1423759,40,3044,2,5
1423761,20,2379,1,2
1423763,33,2451,4,4
1423765,20,914,2,5
1423766,9,3583,2,5
1423768,1,1062,1,3
1423770,29,4484,1,2
1423771,22,86,1,3
1423771,42,478,0,0
1423772,19,3285,0,0
1423774,48,4041,0,0
1423774,4,111,1,5
1423775,45,2354,2,5
1423777,32,3854,0,0
1423778,22,1914,1,3
1423779,47,120,2,5
1423779,18,184,2,5
1423781,18,773,2,5
1423784,48,2022,0,0
1423786,21,2207,1,5
1423788,31,2622,1,3
1423788,27,3613,0,0
1423789,6,1496,2,5
1423791,36,3763,4,4
1423794,1,2572,1,3
1423795,25,2302,1,3
1423797,12,4568,0,0
1423800,26,361,1,3
1423801,22,992,0,0
1423801,45,1559,0,0
1423805,37,4293,2,5
1423806,22,533,1,3
1423806,34,529,4,5
1423810,25,4258,1,5
1423810,9,2101,1,3
1423812,43,282,0,0
1423813,31,130,1,3
1423815,1,1763,6,5
1423815,3,4444,1,3
1423815,25,1466,0,0
1423816,10,1707,0,0
1423817,34,2865,0,0
1423819,21,2031,0,0
1423821,28,764,0,0
1423822,17,3434,1,3
1423822,12,2397,1,2
1423825,45,3574,3,3
1423825,8,4640,3,4
1423825,33,4018,1,3
1423826,4,3488,1,5
1423827,48,2932,4,4
1423829,44,3577,5,5
1423829,48,641,1,3
1423834,17,3281,1,2
1423839,31,2807,4,5
1423839,11,869,1,2
1423840,25,2873,0,0
1423841,47,4576,0,0
1423843,17,4340,2,2
1423844,18,545,1,3
1423845,44,183,1,3
1423845,44,3675,4,4
1423849,23,648,0,0
1423851,26,4428,0,0
1423853,14,1040,0,0
1423854,46,1179,5,4
1423854,13,2026,0,0
1423854,27,2738,0,0
1423855,7,1587,1,3
1423858,24,24,0,0
1423859,24,3132,0,0
1423859,6,4048,0,0
1423859,38,906,0,0
1423859,21,3760,0,0
1423860,8,2578,0,0
1423864,23,498,1,3
1423867,49,4526,0,0
1423868,4,1223,2,2
1423869,38,1295,1,3
1423872,25,1985,7,5
1423873,6,1229,3,3
1423873,27,1906,2,4
1423874,38,2629,1,3
1423875,35,4408,1,3
1423876,7,1852,3,5
1423881,23,2550,0,0
1423883,48,2899,2,5
1423883,20,4153,0,0
1423883,20,3537,2,5
1423884,32,3493,0,0
1423885,33,4229,0,0
1423886,46,1862,4,5
1423886,25,759,1,2
1423887,15,4129,0,0
1423888,11,2405,0,0
1423888,30,614,3,3
1423890,4,3061,1,5
1423891,33,715,0,0
1423893,22,722,1,3
1423893,39,2406,0,0
1423895,18,1905,0,0
1423896,20,224,2,5
1423898,40,1220,0,0
1423898,25,286,2,3
1423898,37,130,0,0
1423899,46,3302,1,1
1423904,50,1326,1,2
1423906,7,794,11,5
1423906,50,1873,5,5
1423909,42,3292,4,5
1423910,42,3238,0,0
1423914,26,2630,4,3
1423914,7,1155,1,3
1423915,31,1532,0,0
1423918,39,1937,3,3
1423920,40,1027,0,0
1423922,5,305,1,3
1423922,12,1921,1,3
1423924,17,2285,1,2
1423925,32,2869,0,0
1423925,41,3425,1,3
1423926,23,1871,5,5
1423927,18,455,1,2
1423927,12,1710,4,4
1423927,20,4422,0,0
1423927,48,226,0,0
1423927,19,3470,3,4
1423928,6,3092,1,5
1423929,13,2454,0,0
1423931,11,246,1,5
1423931,15,723,4,5
1423931,6,3384,0,0
1423933,30,2666,1,3
1423937,2,2134,0,0
1423937,46,2209,0,0
1423938,47,2234,2,2
1423938,41,4050,0,0
1423939,14,4196,2,5
1423940,11,2418,0,0
1423941,7,3340,1,3
1423941,13,3418,2,4
1423941,7,681,0,0
1423941,14,4432,0,0
1423942,17,2828,1,3
1423943,6,2280,1,3
1423943,17,353,2,5
1423943,3,3085,4,5
1423946,37,4196,1,3
1423946,30,1858,1,2
1423947,48,4384,2,5
1423947,7,3121,3,3
1423949,32,3391,2,4
1423949,24,755,1,2
1423955,4,3846,0,0
1423955,17,2494,3,5
1423956,14,2488,0,0
1423956,40,1806,0,0
1423957,46,486,2,5
1423957,13,2236,0,0
1423958,25,2489,0,0
1423959,22,260,0,0
1423959,7,3158,1,5
1423959,3,4064,0,0
1423960,23,1297,2,5
1423960,9,3684,0,0
1423961,27,4598,2,4
1423962,21,670,1,5
1423963,5,220,2,5
1423964,35,4626,0,0
1423964,15,2064,1,2
1423965,17,3637,3,5
1423969,7,2679,2,3
1423969,2,793,0,0
1423970,5,733,0,0
1423972,43,1213,5,5
1423973,12,3332,0,0
1423973,20,3162,4,3
1423974,49,1263,5,5
1423975,27,4535,1,5
1423975,23,4126,1,3
1423977,15,2397,2,3
1423977,14,1540,1,1
1423977,23,3584,0,0
1423981,30,2773,0,0
1423981,44,592,0,0
1423983,3,510,1,3
1423983,20,115,0,0
1423983,26,324,1,3
1423983,20,3790,1,2
1423983,13,230,2,5
1423984,11,2871,2,5
1423984,19,3589,0,0
1423985,49,1705,4,5
1423986,5,222,0,0
1423986,41,678,0,0
1423987,36,3725,0,0
1423987,22,3983,0,0
1423987,35,413,1,2
1423988,18,3001,1,5
1423990,4,436,2,5
1423990,21,3417,3,5
1423990,33,1906,2,4
1423991,37,2692,0,0
1423992,21,664,1,5
1423993,48,138,2,5
1423994,23,2977,1,2
1423995,43,1620,0,0
1423995,3,1244,0,0
1423998,27,3426,0,0
1424000,49,1118,0,0
1424000,39,3428,1,3
1424001,33,282,0,0
1424002,30,1396,1,3
1424002,13,833,1,3
1424004,43,513,1,2
1424005,16,1610,2,3
1424005,9,898,2,5
1424005,30,4489,1,3
1424005,19,3497,4,4
1424005,22,1226,2,5
1424006,44,2869,0,0
1424006,38,3198,4,5
1424008,25,3683,0,0
1424008,20,2562,1,2
1424008,46,4609,2,5
1424009,23,426,1,3
1424010,30,4632,0,0
1424010,38,1024,0,0
1424011,34,1806,4,4
1424013,49,2800,3,5
1424013,34,831,1,5
1424020,44,186,0,0
1424020,16,2875,1,3
1424022,2,3092,0,0
1424022,49,2699,1,2
1424024,19,3220,1,3
1424025,45,2477,2,5
1424026,19,3413,3,5
1424026,36,671,0,0
1424027,29,3706,2,4
1424027,46,1055,2,4
1424029,32,4251,3,5
1424030,22,4170,1,3
1424031,21,1728,6,5
1424031,48,4335,0,0
1424031,30,1682,0,0
1424033,34,2697,1,3
1424033,15,2253,0,0
1424034,16,2037,1,5
1424036,16,4487,0,0
1424038,3,528,1,5
1424038,16,3582,3,5
1424039,33,4495,1,3
1424039,50,3089,2,4
1424040,1,576,0,0
1424040,20,3520,0,0
1424041,38,3770,1,3
1424042,45,524,0,0
1424043,44,700,4,3
1424043,38,1878,2,4
1424044,40,2892,0,0
1424045,22,4586,1,1
1424047,36,1672,0,0
1424047,39,3393,0,0
1424048,25,627,6,5
1424048,41,2526,0,0
1424049,48,13,1,3
1424049,10,1662,0,0
1424050,28,2580,1,3
1424051,49,4609,1,3
1424051,50,512,1,5
1424051,48,2066,1,5
1424051,47,1746,0,0
1424053,21,358,1,3
1424053,20,2538,2,4
1424053,25,2428,0,0
1424054,27,1719,5,5
1424055,26,692,0,0
1424057,22,2620,1,2
1424057,6,2898,0,0
1424059,32,2685,1,5
1424059,38,1473,1,2
1424059,11,3275,0,0
1424060,15,3957,3,4
1424060,16,4322,0,0
1424062,2,3197,0,0
1424062,23,4495,2,5
1424062,11,391,3,4
1424063,13,2915,10,5
1424064,23,3284,1,3
1424064,13,3583,0,0
1424065,13,477,3,3
1424066,11,2362,1,5
1424066,2,1669,0,0
1424068,33,3484,0,0
1424069,15,2123,1,3
1424072,34,1900,2,4
1424073,46,632,3,5
1424073,4,276,1,2
1424073,48,147,3,5
1424075,16,4412,2,4
1424077,20,2245,1,3
1424077,47,1781,0,0
1424078,5,2215,2,2
1424079,5,1840,7,5
1424080,42,764,1,2
1424081,7,3714,1,5
1424081,15,3245,1,1
1424082,7,1048,1,2
1424084,31,154,0,0
1424085,12,1460,5,5
1424085,37,3926,1,5
1424086,16,4308,2,5
1424087,38,337,0,0
1424090,27,358,1,3
1424091,41,2976,1,2
1424091,7,3047,0,0
1424091,24,2272,1,3
1424091,24,1947,0,0
1424093,4,3935,1,3
1424093,5,4275,0,0
1424094,3,281,1,2
1424094,43,1930,0,0
1424095,19,1315,2,5
1424095,36,1483,7,5
1424096,41,1053,1,3
1424098,23,2356,0,0
1424098,37,3533,1,3
1424098,15,2865,4,4
1424098,3,3048,1,3
1424099,36,1254,3,3
1424099,12,1770,2,5
1424101,10,4368,0,0
1424102,46,1581,2,2
1424103,11,3427,2,5
1424104,18,3749,0,0
1424105,19,1710,3,3
1424105,31,4425,3,5
1424105,24,3026,0,0
1424106,2,4535,0,0
1424106,18,2552,3,4
1424106,3,2774,0,0
1424106,22,3113,3,5
1424108,17,570,0,0
1424109,8,1492,1,2
1424109,4,2511,1,5
1424110,31,3763,4,4
1424111,44,3766,1,3
1424111,21,3282,5,5
1424111,47,656,0,0
1424113,14,375,0,0
1424113,1,121,1,3
1424113,18,3203,2,5
1424116,7,2015,3,4
1424117,21,3402,0,0
1424118,28,4306,0,0
1424119,31,597,0,0
1424121,50,1207,2,5
1424122,38,588,3,5
1424123,24,3115,4,5
1424123,32,3075,2,5
1424125,44,709,1,2
1424126,26,2752,1,3
1424126,6,2510,4,4
1424127,46,1438,1,3
1424127,47,4216,1,3
1424131,48,1764,1,2
1424131,43,2871,0,0
1424133,12,1832,1,5
1424133,5,2746,0,0
1424134,36,2046,1,3
1424135,48,4209,0,0
1424135,13,581,2,5
1424135,39,2451,3,3
1424137,17,3839,1,3
1424137,43,1724,4,4
1424137,30,3518,2,3
1424138,47,3521,0,0
1424138,17,148,2,4
1424138,42,1451,2,4
1424139,47,2324,5,5
1424139,6,2588,1,2
1424140,26,706,1,3
1424141,47,1950,0,0
1424142,27,4363,0,0
1424142,4,1019,2,5
1424145,22,742,2,5
1424146,26,3033,0,0
1424147,23,4615,0,0
1424148,4,1067,0,0
1424149,1,3856,1,3
1424149,12,1162,2,2
1424149,50,2353,0,0
1424149,33,3993,0,0
1424150,19,3939,0,0
1424150,12,4147,1,3
1424150,23,3994,1,3
1424150,20,2770,1,3
1424152,11,4583,4,5
1424152,40,3319,1,3
1424153,13,2805,0,0
1424153,8,3649,0,0
1424154,23,3705,0,0
1424156,15,2828,2,5
1424156,13,3871,0,0
1424157,34,289,2,5
1424157,5,2989,0,0
1424158,38,1954,1,3
1424159,24,2314,2,5
1424159,37,1455,2,4
1424159,24,725,0,0
1424159,37,1565,0,0
1424160,20,678,3,5
1424160,8,794,6,3
1424160,30,836,1,3
1424160,26,2584,3,4
1424161,12,4533,1,3
1424161,14,871,2,4
1424163,8,188,0,0
1424165,8,3663,0,0
1424165,23,1044,0,0
1424165,21,2856,0,0
1424165,11,2176,0,0
1424165,34,4174,0,0
1424167,10,516,1,3
1424167,19,3831,0,0
1424168,8,3717,0,0
1424169,49,2186,1,5
1424171,37,2304,1,5
1424172,9,459,2,5
1424172,48,2794,1,3
1424173,23,325,0,0
1424177,25,329,1,3
1424178,4,3178,0,0
1424178,18,1443,6,5
1424179,47,2071,2,4
1424179,50,3810,2,5
1424179,33,2009,0,0
1424180,4,1422,2,5
1424181,10,198,1,3
1424181,35,1468,1,2
1424182,47,2064,1,2
1424182,23,327,0,0
1424184,17,1665,5,5
1424184,27,4378,2,5
1424186,3,4216,1,3
1424186,11,3107,0,0
1424187,21,587,1,3
1424187,47,1463,2,2
1424187,8,2906,2,2
1424188,47,3967,0,0
1424189,22,4468,2,5
1424189,35,1398,1,2
1424190,44,4132,3,5
1424191,42,736,2,5
1424191,39,3352,0,0
1424193,28,1851,2,5
1424195,19,3779,0,0
1424196,17,4057,3,5
1424198,4,3410,0,0
1424199,11,1228,1,2
1424200,32,466,0,0
1424201,25,3262,3,4
1424201,29,2814,2,5
1424201,40,1600,2,5
1424203,40,1022,0,0
1424204,15,1911,0,0
1424204,6,153,2,5
1424205,11,1523,3,3
1424205,17,4334,0,0
1424205,16,1321,0,0
1424206,46,672,1,3
1424206,45,3588,1,3
1424207,21,1191,2,5
1424209,26,510,1,3
1424209,36,4255,1,2
1424210,1,1678,0,0
1424211,44,2195,0,0
1424211,6,4311,0,0
1424212,46,4229,1,1
1424212,44,1899,5,5
1424213,34,3537,0,0
1424215,1,1559,1,3
1424215,30,1110,1,1
1424216,7,3485,0,0
1424216,23,4472,2,5
1424218,37,2800,1,2
1424219,35,912,7,5
1424219,36,3997,0,0
1424219,5,840,2,5
1424219,2,347,0,0
1424220,31,3221,0,0
1424220,22,2168,1,5
1424222,43,967,4,5
1424223,17,306,3,5
1424223,1,1211,6,5
1424224,7,8,0,0
1424226,50,1563,2,5
1424226,8,1828,2,4
1424226,21,833,1,3
1424228,43,4138,0,0
1424228,5,876,0,0
1424228,7,3622,0,0
1424230,27,2309,1,1
1424230,40,3085,3,4
1424230,47,2417,1,3
1424231,39,3885,0,0
1424231,22,2306,2,4
1424232,10,1771,0,0
1424234,46,3071,0,0
1424234,48,497,0,0
1424234,4,1944,0,0
1424235,33,4261,1,3
1424237,20,2663,0,0
1424237,42,2120,5,5
1424238,45,3692,0,0
1424239,38,2020,0,0
1424239,33,3054,0,0
1424240,14,4026,10,5
1424241,45,3036,0,0
1424242,44,2121,1,2
1424242,36,3274,0,0
1424243,32,1035,0,0
1424244,20,4401,0,0
1424245,12,3348,0,0
1424245,12,377,0,0
1424246,31,455,2,4
1424246,29,4223,1,5
1424246,38,3975,0,0
1424247,27,2806,2,5
1424247,46,1337,2,2
1424249,36,1801,1,3
1424250,8,3387,2,5
1424251,6,379,1,2
1424252,38,2466,1,3
1424252,1,4058,1,3
1424252,19,1091,4,4
1424253,24,4545,0,0
1424253,32,2319,0,0
1424253,46,2666,2,5
1424254,1,3274,2,5
1424255,46,22,2,5
1424255,44,1795,2,5
1424255,22,298,0,0
1424256,40,3434,1,3
1424256,21,3939,0,0
1424256,14,3953,1,1
1424257,5,2314,0,0
1424258,24,961,0,0
1424258,37,2413,1,3
1424260,43,3795,0,0
1424262,1,5,0,0
1424263,22,693,0,0
1424263,12,4312,1,5
1424264,34,4527,0,0
1424265,49,1442,4,5
1424266,33,2571,0,0
1424267,22,2575,0,0
1424267,39,3086,1,3
1424269,38,409,0,0
1424269,27,3629,0,0
1424270,29,3980,2,5
1424270,41,3201,1,3
1424271,32,2723,2,3
1424271,5,3496,0,0
1424271,26,1853,7,5
1424271,49,281,0,0
1424272,41,1602,1,2
1424273,19,2846,0,0
1424274,41,1894,0,0
1424274,13,2160,1,2
1424274,29,979,0,0
1424276,46,4013,0,0
1424276,12,4130,3,4
1424277,17,2892,0,0
1424277,27,1859,1,3
1424277,2,3068,0,0
1424279,39,2511,0,0
1424280,19,1174,2,5
1424280,48,2238,2,4
1424281,29,1685,2,5
1424281,32,2340,1,2
1424282,5,816,0,0
1424282,46,2222,1,5
1424282,20,2126,1,5
1424282,41,4254,0,0
1424284,40,3388,1,3
1424284,21,737,1,3
1424285,42,3581,0,0
1424285,34,1635,2,5
1424285,47,1178,1,1
1424286,47,1911,0,0
1424286,11,3453,0,0
1424287,39,4520,9,5
1424287,32,3962,0,0
1424287,20,1997,1,5
1424288,41,2307,1,3
1424288,43,1948,2,2
1424288,46,1993,1,2
1424289,43,2337,1,3
1424289,18,2993,0,0
1424289,35,1254,4,4
1424289,22,792,0,0
1424289,17,3112,0,0
1424289,27,2847,0,0
1424290,5,3625,0,0
1424290,8,190,0,0
1424291,1,3229,0,0
1424291,18,3298,0,0
1424292,1,1946,1,3
1424293,28,676,0,0
1424293,25,1542,0,0
1424293,45,4350,3,5
1424293,48,485,0,0
1424294,38,3020,0,0
1424294,48,228,2,5
1424297,4,212,0,0
1424298,24,918,1,5
1424299,19,4136,1,3
1424299,37,3635,0,0
1424300,36,2595,0,0
1424300,10,2029,0,0
1424301,33,2905,2,5
1424301,49,1250,0,0
1424301,35,2822,0,0
1424305,14,2476,0,0
1424306,30,1929,0,0
1424307,15,954,1,3
1424307,44,3470,4,5
1424307,14,257,0,0
1424307,16,2289,1,2
1424308,14,821,4,5
1424308,37,615,0,0
1424309,34,2343,1,3
1424309,43,546,0,0
1424309,33,3652,1,5
1424309,28,2750,0,0
1424310,6,152,0,0
1424311,25,185,2,5
1424311,10,777,0,0
1424312,46,3797,17,4
1424312,25,594,3,5
1424313,41,4077,1,5
1424313,33,3290,2,2
1424313,34,405,1,3
1424315,39,3940,1,3
1424315,22,2204,0,0
1424315,24,2319,0,0
1424315,9,3632,2,4
